mU	mW	eP	robustness	minRange	maxRange	min_CoRa	optimalRho	negative_sol	oscilations	other_errors	negative_CoRa	Greater_CoRa	not_same	steady_state	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
1.0	1.0	1.0	0.6	0.001	3.2903445623126686	0.0004339485584458005	0.04520353656360243	0.0	0.0	0.0	0.0	0.0	0.0	1.0025040846403828	0.012345439260794165	0.007705922619005052	0.004804623625248813	0.0029974465517405343	0.0018769637977007815	0.0011882365156028355	0.0007739050175319094	0.0005396663198713337	0.0004339485584458005	0.00043852025794744164	0.0005703183242331698	0.0009007224863896707	0.0016112368994113334	0.0031341286339427363	0.006492821512956816	0.01407749534046594	0.03114635057687408	0.06745366718847152	0.13445369471930527	0.23170195342887054	0.33790568756211387	0.4296567392661656	0.4987413813764345	0.5477617972239162	0.5819546015374242	0.6058229794093225	0.6225957193091293	0.6344702476670138	0.6429290500831468	0.6489789812805572
31.6228	0.0316	0.0316	0.0	NaN	NaN	0.17162213596564374	0.001	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.17162213596564374	0.2594296078737186	0.35077264385293866	0.43047291127602944	0.4927421258828302	0.538819414104015	0.5722351069964225	0.5963945749394766	0.6139381833727724	0.6267705994778152	0.6362256670817847	0.6432462090641006	0.64849564453958	0.6524459131367268	0.6554355384792181	0.6577092083712713	0.6594449611193394	0.6607730517107966	0.6617891811245549	0.6625638601706684	0.6631490892120727	0.6635831520582164	0.6638940708087941	0.664102100842522	0.6642215317459755	0.6642619821061282	0.6642293219171196	0.6641263182568035	0.6639530728661038	0.6637073010102919
0.0316	31.6228	31.6228	0.9	0.0041753189365604	1000.0	1.3360287173273365e-5	57.36152510448679	0.0	0.0	0.0	0.0	0.0	0.0	991.7740964245794	0.28337855533692036	0.19715936251700966	0.13232824493117362	0.08651763804089235	0.05555066628467476	0.035239937625907256	0.022180888064588466	0.013891505824628395	0.008672529879416446	0.005403556026352811	0.0033625945293231574	0.0020909049350674065	0.0012995361675518836	0.0008074620402366624	0.0005016500111483009	0.00031167121873708554	0.0001937031466770293	0.00012050720700420523	7.51729400452331e-5	4.7224795341553935e-5	3.020846538303437e-5	2.0207444024442714e-5	1.4955818965251058e-5	1.3360287173273365e-5	1.536586615535977e-5	2.2250038817729916e-5	3.771287360630822e-5	7.079039767476794e-5	0.0001432698659852323	0.0003084938232126865
0.1778	0.1778	5.6234	0.6666666666666666	0.001	8.531678524172808	0.0004988570091234743	0.30391953823131973	0.0	0.0	0.0	0.0	0.0	0.0	0.994662015021867	0.06566831305872944	0.04182263231780946	0.026391719172188483	0.01655659562801251	0.010348938659523675	0.006455575202021654	0.004024452420685231	0.002512390117689196	0.001577504737028981	0.0010076338966103961	0.0006751649178750581	0.0005114873433460594	0.0004988570091234743	0.0006849816655200364	0.0012412145118223174	0.0026213827282474643	0.005959166467166966	0.013984952975915793	0.0327692484422125	0.07331311637744224	0.14706687593873868	0.24985378513562267	0.3566980358643129	0.4454869112761124	0.510816177669712	0.556616198804514	0.5883518352374322	0.6103993182653809	0.6258145090232211	0.6366540374720914
177.8279	177.8279	0.0056	0.36666666666666664	0.001	0.11721022975334802	0.0006423868062788425	0.001	0.0	0.0	0.0	0.0	0.0	0.0	1.015991583440868	0.0006423868062788425	0.0009650817776379738	0.0015113285195467404	0.002407990443570681	0.0038637183858688503	0.006218098110198227	0.010021607316732763	0.016163136328305704	0.026063249225766884	0.041927245191486225	0.06693632571329207	0.10493580835746215	0.15878516852951588	0.22723714614923296	0.30315586449449916	0.3766318289100287	0.44039024770520907	0.4918793336157816	0.531841364852173	0.5623050024437244	0.5854070294102205	0.6029542472407398	0.6163487136613427	0.6266400299327154	0.6346034536523391	0.6408100668384288	0.6456815948550143	0.6495309976702971	0.6525919036466679	0.655039818990405
5.6234	0.0056	177.8279	0.3	0.001	0.04520353656360243	0.0007003281920937832	0.002592943797404667	0.0	0.0	0.0	0.0	0.0	0.0	0.0010020178078520953	0.0017028509098851792	0.0009681585118995072	0.0007003281920937832	0.0009047102463785548	0.001872453527048791	0.004531947709289257	0.011281717676095421	0.027667558135459996	0.0642761827891378	0.1335483009638862	0.23422837126188692	0.34247074744560607	0.43408605414159823	0.5018589366949688	0.5492357295448119	0.5818030612326482	0.6041292373921573	0.6194143393325933	0.6298041959636255	0.6367284481900377	0.6411445548193753	0.6436978246272563	0.6448242302933446	0.6448169110911123	0.64387002356487	0.6421083910982653	0.6396082541350133	0.6364124438829528	0.6325421559421243	0.6280067692518289
0.0056	5.6234	0.1778	0.7666666666666667	0.02807216203941177	1000.0	0.00041553650382434703	13.73823795883263	0.0	0.0	0.0	0.0	0.0	0.0	998.3979297176339	0.6905187817576237	0.5808273451431764	0.46251975572112125	0.3482871322356113	0.24918685263748955	0.17088976128170322	0.11347585933651758	0.07363806240266989	0.047044066727072995	0.029746374771750055	0.018684943746617316	0.011688499422268114	0.007294392590836553	0.004547881611083762	0.0028378702162902714	0.0017782706812583433	0.0011276909408635821	0.0007371449409940067	0.0005170300942561643	0.0004171076951136806	0.00041553650382434703	0.0005150567415777032	0.0007466352369058146	0.0011842957666207668	0.0019817738315619535	0.003457234873269906	0.006287328844900157	0.011942021968080096	0.023580608318035514	0.04746852478083745
0.0133	0.075	421.6965	0.7666666666666667	0.010826367338740546	385.6620421163472	0.00011654904986577472	8.531678524172808	0.0	0.0	0.0	0.0	0.0	0.0	5.5985307299973845	0.48440231611117146	0.36847026967910695	0.26597090147150454	0.18369027653640163	0.12261154859854023	0.07985494345047839	0.05113889851010285	0.0323854089858273	0.0203610536852872	0.01274164211072496	0.00794917479271008	0.004948368451396535	0.0030740296743968043	0.0019042182378149939	0.0011735535483499337	0.0007164115709458169	0.0004307227277648236	0.00025525414603153713	0.0001555364656547319	0.00011654904986577472	0.00014436464670287855	0.00028427546610009847	0.0006740129154684176	0.0016810074142562723	0.004245510785903006	0.010691450880013949	0.026365831253625953	0.06157859042002435	0.12887039252874954	0.22803031485703817
13.3352	74.9894	0.4217	0.7	0.001	13.73823795883263	7.167790952675245e-5	0.02807216203941177	0.0	0.0	0.0	0.0	0.0	0.0	5.652897847947284	0.0009375804534381892	0.0005837967593959593	0.000364781199261535	0.00023003677657127804	0.00014846373606555594	0.0001012291624043746	7.744379577566284e-5	7.167790952675245e-5	8.277527787588487e-5	0.00011375905865757713	0.00017297687355745001	0.00027718396844466427	0.00045839534423761113	0.0007789599086648022	0.001365640644093885	0.002488822531645977	0.004748977466015946	0.009508791020182738	0.01982237064002494	0.04201550159017479	0.08654978237630032	0.16251218199821	0.26332527793212435	0.36550336671457967	0.4500414340842152	0.512649974680072	0.5569851356722412	0.5880335647363689	0.6098373233960488	0.6252592657387905
421.6965	0.0024	13.3352	0.0	NaN	NaN	0.5332749521227483	0.001	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.5332749521227483	0.5721289177397632	0.5989999871992835	0.6176679055839801	0.6307057662640538	0.6398358179878818	0.6462154150931655	0.650630328527711	0.6536192823181433	0.6555541274218104	0.6566919409634505	0.6572094512650717	0.6572261616319176	0.6568201134015534	0.6560387687667375	0.6549066138453995	0.6534305462901344	0.651603781241497	0.6494088051333685	0.6468197818165605	0.6438047408434409	0.6403278347026954	0.6363519237386103	0.6318417187193194	0.6267676617727956	0.6211106316436541	0.6148673939421885	0.6080564597425255	0.6007236728539438	0.5929464708325621
