mU	mW	eP	robustness	minRange	maxRange	min(CoRa)	optimalRho	negative_sol	oscilations	other_errors	negative_CoRa	Greater_CoRa	steady_state	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
1.0	1.0	1.0	0.3	1.2689610031679222	57.36152510448679	0.027461412845228846	5.298316906283709	0.0	0.0	0.0	83.90378892388637	0.0	0.0	0.9998462333709612	0.9994752194480095	0.9931993877618343	0.9549871923270907	0.9276696001571542	0.8881652374129886	0.8313350188650824	0.7537276956579383	0.65526230806904	0.5414190372454237	0.42313684704691473	0.3131578715579468	0.2210116112584426	0.1503941762977374	0.10004196480139806	0.06622643495637656	0.0448758337563548	0.03268490696679579	0.027461412845228846	0.028105743433785232	0.034461179359524176	0.047091516776107886	0.06692214475376751	0.09466445033898323	0.13010022059157103	0.17158637056144868	0.21621721109317546	0.2606571669651299	0.3021041553669443	0.33882353294812834
31.6228	0.0316	0.0316	0.5333333333333333	0.7880462815669912	1000.0	0.005005698414382101	35.62247890262442	0.0	0.0	0.0	2517.621002136923	0.0	0.0	0.9884894469368495	0.9815935917971319	0.9706897544844215	0.9536321317028752	0.9273904329387611	0.8880413542542297	0.8312488289509156	0.7536406173438139	0.6551490353870338	0.5412517452340211	0.4228763383356794	0.31274385380425146	0.22034867662959556	0.1493300636992801	0.09833337120311786	0.06348544176269373	0.04048708743946203	0.025680708654762935	0.01634110620060683	0.010593095083287327	0.0072205967553711815	0.005487114345882422	0.005005698414382101	0.005662662473268174	0.0075892637086566565	0.011173417790094472	0.017099420872801557	0.026389298572174515	0.04038772156453874	0.06058928670468909
0.0316	31.6228	31.6228	0.13333333333333333	1.2689610031679222	5.298316906283709	0.07366530615308448	2.043359717856942	0.0	0.0	0.0	5.296612873323189	0.0	0.0	0.9999989477396465	0.9999982600958234	0.9999970756205537	0.9999949518769197	0.9999908947224287	0.9999823250736873	0.999961045864061	0.9998914483413469	0.9994987465290293	0.9876277037413681	0.45083345809882613	0.3221547438078491	0.22905594999131632	0.16030625160095668	0.11369456856040314	0.08587816555415757	0.07366530615308448	0.07486411482373967	0.08823773451041653	0.11282485790892158	0.14702961909465673	0.18805630549926913	0.2321675292210642	0.27562605651291566	0.31561392782175623	0.35058783256129183	0.38010008888200475	0.4044061413276687	0.42410691943905093	0.4399110587617548
0.1778	0.1778	5.6234	0.16666666666666666	1.2689610031679222	8.531678524172808	0.05564050356412092	3.2903445623126686	0.0	0.0	0.0	17.033998683045763	0.0	0.0	0.9999728703148077	0.9999502446127461	0.9999006019345926	0.9997691199370212	0.9992828298513617	0.9955488542424549	0.8779134479365238	0.7573181572834911	0.6565984786166468	0.5424520759360475	0.42435283329301066	0.31489029676664654	0.2236587294854393	0.15452448292691473	0.10649533195389951	0.07622975310323604	0.0601695741169056	0.05564050356412092	0.06113742082615783	0.07611466727362787	0.10041558268961191	0.13343790709569778	0.17339303746058912	0.2172240463346905	0.261358624068668	0.30274700755677775	0.33948105851822447	0.37080672862827785	0.3967927101743419	0.41795592008627674
177.8279	177.8279	0.0056	0.5333333333333333	0.7880462815669912	1000.0	0.002134155731182109	92.36708571873861	0.0	0.0	0.0	14013.319204861615	0.0	0.0	0.9884886956349138	0.9815930969455027	0.9706893619583747	0.9536317368699386	0.927389939454966	0.8880406461193311	0.8312477416853243	0.7536388992215254	0.6551462889494667	0.5412473352726156	0.4228692449663169	0.3127324366353972	0.22033029552666242	0.14930046858430465	0.09828572016230923	0.0634087214077356	0.040363572875781885	0.025481882566035716	0.01602111124405167	0.010078251844121016	0.0063926830707274965	0.004156847445214281	0.0028710754888205884	0.0022445224332363588	0.002134155731182109	0.0025134875105925158	0.0034655398618087807	0.005197604349064386	0.008077247884957284	0.012687754024918826
5.6234	0.0056	177.8279	0.43333333333333335	0.7880462815669912	239.5026619987486	0.011745463261061451	13.73823795883263	0.0	0.0	0.0	451.2923212378964	0.0	0.0	0.988563001529651	0.9816178522402227	0.9707012857145668	0.9536390750301723	0.9273958013951894	0.8880468207511181	0.831255802962654	0.7536507631892614	0.6551647178378541	0.5412765965914762	0.4229161042351696	0.3128077204382307	0.22045138546212154	0.14949529467505568	0.09859915664285276	0.06391281905473575	0.041173901072997274	0.02678356105461393	0.018110065297505237	0.013425904704428535	0.011745463261061451	0.012684506952139208	0.016376700088832682	0.023436211706211286	0.034918585878978406	0.052188343796812524	0.07657197368876197	0.10874202061849472	0.14803050474688498	0.1921669619256717
0.0056	5.6234	0.1778	0.0	NaN	NaN	0.12483740440778544	2.043359717856942	0.0	0.0	0.0	NaN	0.0	0.0	0.9999781220280854	0.999964634829598	0.9999426984394599	0.9999068022701726	0.9998474877260081	0.9997479388988894	0.9995766692352417	0.9992701932146014	0.9986866853599846	0.997461717969397	0.9944579760228381	0.9849515369793566	0.938412914804931	0.6171637066594098	0.23210682376865746	0.14568478789403663	0.12483740440778544	0.1257967841248259	0.13750743414349603	0.15499502345395047	0.17546811178655827	0.1973068015433352	0.21958533556094456	0.24177999552669144	0.26359162359434696	0.2848432646345905	0.3054216382665249	0.3252420752335602	0.34422652087127487	0.3622906371016959
0.0133	0.075	421.6965	0.16666666666666666	1.2689610031679222	8.531678524172808	0.06611137752959152	3.2903445623126686	0.0	0.0	0.0	3.8317742786537465	0.0	0.0	0.9999999671396207	0.999999946490971	0.999999912267418	0.9999998545491038	0.999999754472194	0.9999995731558309	0.9999992210156713	0.9999984574133158	0.9999964773779775	0.999989471484928	0.9999419698001343	0.99552211847836	0.23028060090126298	0.15740361022870272	0.10957205889264707	0.08059475010563179	0.06689990758737749	0.06611137752959152	0.07696587853033315	0.09874959983581796	0.13041419108968152	0.1698116355279389	0.2136056944700624	0.2580119509865962	0.29982294059986675	0.3370219830881736	0.3687904914655322	0.3951664265736953	0.41665756338781407	0.4339559665549816
13.3352	74.9894	0.4217	0.5	0.7880462815669912	621.0169418915616	0.007677401810806247	22.122162910704493	0.0	0.0	0.0	1068.5712955567922	0.0	0.0	0.9884942010980644	0.9815960766304992	0.9706912861854408	0.9536332835601788	0.9273915435778718	0.8880427058911604	0.8312507434161521	0.753643540832973	0.65515364529469	0.5412591081139672	0.422888156959244	0.3127628608734662	0.2203792661128526	0.14937930514010714	0.09841263971110495	0.06361303574160283	0.04069242670648571	0.026011050877041947	0.01687224990093005	0.011446325870252887	0.00858923713580799	0.007677401810806247	0.008497911460130242	0.011198010166063383	0.01628238637197551	0.02463183315145676	0.0374887304232509	0.056312873827223914	0.08239248451258607	0.11619599268580726
421.6965	0.0024	13.3352	0.5333333333333333	0.7880462815669912	1000.0	0.0013965166241910068	148.73521072935117	0.0	0.0	0.0	33186.55160243101	0.0	0.0	0.988488672245208	0.9815930750658592	0.9706893363604457	0.9536317015697802	0.9273898862641254	0.8880405627265898	0.831247608800102	0.7536386861090372	0.6551459463209123	0.5412467838856986	0.422868357298451	0.3127310073919651	0.22032799416491627	0.14929676287691346	0.09827975313274936	0.06339911320384164	0.04034810183077653	0.02545697187182015	0.015981003000710082	0.010013678723479628	0.0062887336437231125	0.003989539925750764	0.0026018693398204527	0.0018115549257865734	0.0014383219391917777	0.0013965166241910068	0.0016759444651809122	0.002339009127054764	0.0035330244829339377	0.005518597883437206
