mA	mB	mU	robustness	minRange	maxRange	min(CoRa)	optimalRho	negative_sol	oscilations	other_errors	negative_CoRa	Greater_CoRa	steady_state	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
1.0	1.0	1.0	0.0	NaN	NaN	1.0000001710623887	0.001	10.0	0.0	5.0	0.0	15.0	NaN	1.0000001710623887	1.0000002757971764	1.0000004449942506	1.0000007188696198	1.000001163599129	1.0000018894847331	1.000003084124311	1.0000050767039195	1.0000084729908372	1.0000144696376	1.0000256896375646	1.0000488309666733	1.0001055162313706	1.0003009842850135	1.0020767303758626	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
31.6228	0.0316	0.0316	0.0	NaN	NaN	1.0000000017637554	0.001	7.0	0.0	1.0	0.0	22.0	NaN	1.0000000017637554	1.0000000028403124	1.0000000045741524	1.0000000073669264	1.000000011866117	1.0000000191165157	1.000000030805815	1.0000000496656969	1.0000000801313478	1.000000129439578	1.0000002094921494	1.000000340107707	1.0000005549332658	1.0000009128111638	1.0000015213056554	1.0000025900882406	1.000004566480416	1.0000085310923479	1.000017585439654	1.000043194847489	1.0001500593419719	1.001274284006875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.0316	31.6228	31.6228	0.4	0.04520353656360243	8.531678524172808	-1.294045500301573	8.531678524172808	4.0	0.0	6.0	12.0	8.0	0.9287916565825843	1.0000001984860174	1.0000003316331862	1.0000005675370929	1.0000010120266325	1.0000019427021214	1.0000043027568688	1.0000131931942353	1.0001164148249562	-0.006320357203235891	-0.005194432808811137	-0.0053493113202416126	-0.006794742671947963	-0.009894375846580419	-0.015481823151430507	-0.02518833532563016	-0.04225181413317942	-0.07376233981439281	-0.138672445687866	-0.31462571204593687	-1.294045500301573	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.1778	0.1778	5.6234	0.13333333333333333	8.531678524172808	35.62247890262442	-0.4151033000073283	35.62247890262442	6.0	0.0	1.0	4.0	19.0	28.946288490249916	1.000000005925517	1.0000000095435841	1.0000000153726845	1.0000000247670344	1.0000000399151765	1.0000000643615377	1.0000001038668151	1.0000001678461847	1.0000002718256689	1.0000004417729969	1.0000007220962046	1.0000011914047422	1.000001996385074	1.0000034333265466	1.0000061754911818	1.0000120490222522	1.000027630263306	1.0000935713638077	1.0017961202724974	-0.04896291795640088	-0.0858792781728549	-0.16576769103046282	-0.4151033000073283	NaN	NaN	NaN	NaN	NaN	NaN	NaN
177.8279	177.8279	0.0056	0.0	NaN	NaN	1.0000025709158884	0.001	14.0	0.0	11.0	0.0	5.0	NaN	1.0000025709158884	1.0000061657081003	1.0000203657680773	1.0001481113851391	1.5052155317501226	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6234	0.0056	177.8279	0.0	NaN	NaN	1.0000000000000044	0.001	0.0	0.0	0.0	0.0	30.0	NaN	1.0000000000000044	1.0000000000000044	1.0000000000000173	1.0000000000000302	1.0000000000000304	1.000000000000065	1.0000000000000997	1.0000000000001734	1.0000000000002645	1.0000000000004292	1.0000000000006934	1.000000000001114	1.0000000000017943	1.0000000000028866	1.0000000000046592	1.0000000000074984	1.0000000000120666	1.0000000000194393	1.0000000000313065	1.0000000000503992	1.0000000000811597	1.0000000001307137	1.0000000002105083	1.000000000339059	1.000000000546169	1.000000000880014	1.0000000014183812	1.000000002287477	1.0000000036925305	1.0000000059696876
0.0056	5.6234	0.1778	0.06666666666666667	0.001	0.0016102620275609393	-3.564571843104651	0.0016102620275609393	24.0	0.0	4.0	2.0	0.0	0.023166935264186818	-0.31476167141032635	-3.564571843104651	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.0133	0.075	421.6965	0.0	NaN	NaN	1.0000000000058773	0.001	0.0	0.0	0.0	0.0	30.0	NaN	1.0000000000058773	1.0000000000094704	1.000000000015248	1.0000000000245495	1.0000000000395244	1.000000000063658	1.0000000001025235	1.0000000001651324	1.0000000002660088	1.000000000428636	1.0000000006909648	1.00000000111456	1.0000000017997475	1.0000000029111609	1.0000000047219562	1.000000007693598	1.000000012627484	1.0000000209761024	1.0000000355473018	1.000000062315546	1.0000001159289247	1.0000002409107251	1.0000006301365163	1.000002950016602	1.0000282595414505	1.0000573349291193	1.000093772145713	1.000151436442193	1.0002440922161462	1.0003933138268917
13.3352	74.9894	0.4217	0.0	NaN	NaN	1.0000014873077763	0.001	9.0	0.0	11.0	0.0	10.0	NaN	1.0000014873077763	1.0000024600963588	1.000004137214561	1.0000071486338484	1.000012915700907	1.000025149699725	1.0000557796393656	1.0001578607850525	1.000771314059555	1.0508176023263245	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
421.6965	0.0024	13.3352	0.0	NaN	NaN	1.0	0.001	0.0	0.0	0.0	0.0	27.0	NaN	1.0	1.0	1.0	1.0000000000000044	1.0000000000000087	1.0000000000000173	1.0000000000000218	1.000000000000039	1.000000000000065	1.0000000000000997	1.000000000000169	1.0000000000002731	1.0000000000004379	1.000000000000711	1.0000000000011444	1.0000000000018379	1.0000000000029559	1.000000000004759	1.0000000000076716	1.0000000000123486	1.0000000000198772	1.000000000032013	1.0000000000515392	1.0000000000830105	1.0000000001336566	1.000000000215237	1.0000000003466354	1.000000000558292	1.0000000008992886	1.0000000014488644
0.4217	2.3714	0.0133	0.0	NaN	NaN	1.0000000012042582	1000.0	2.0	0.0	0.0	0.0	28.0	NaN	1.0054760448757254	1.0312569516293357	NaN	NaN	1.0002854253335252	1.000151237733511	1.000084274335792	1.0000487047154962	1.0000288670209845	1.0000173998607749	1.0000106035205665	1.0000065073082371	1.0000040112658632	1.0000024795553641	1.0000015354112421	1.000000951807034	1.000000590429283	1.0000003664124761	1.0000002274503716	1.0000001412127544	1.0000000876809299	1.0000000544457244	1.0000000338095523	1.000000020995468	1.0000000130382236	1.0000000080968305	1.000000005028222	1.0000000031225922	1.000000001939173	1.0000000012042582
0.075	0.0133	0.075	0.0	NaN	NaN	1.0000052670391582	0.001	16.0	0.0	1.0	0.0	13.0	NaN	1.0000052670391582	1.0000085058902384	1.0000137607739763	1.0000223259722767	1.0000363910186973	1.0000597664760955	1.0000993778199132	1.000168656152749	1.0002962600151315	1.0005525168644833	1.0011506305985942	1.0030127446227544	1.0149302819926993	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
74.9894	13.3352	74.9894	0.0	NaN	NaN	1.000000000005405	0.001	1.0	0.0	1.0	0.0	28.0	NaN	1.000000000005405	1.0000000000087121	1.0000000000140257	1.0000000000225904	1.0000000000363778	1.0000000000585736	1.000000000094323	1.0000000001518867	1.0000000002446061	1.000000000393927	1.0000000006344587	1.0000000010219925	1.0000000016465906	1.0000000026538205	1.0000000042795156	1.0000000069071702	1.0000000111640737	1.0000000180860236	1.0000000294088236	1.0000000481096931	1.0000000794808563	1.000000133452014	1.0000002302082327	1.0000004158832199	1.000000815883969	1.0000018786121725	1.0000062924772755	1.0001069049641877	NaN	NaN
